relative_path,status,reason,original_size,optimized_size
Locationator_1363448335117193418/p0_image.png,kept,reused_existing,1934544,832327
Locationator_1363449445173432493/m1_image.png,kept,reused_existing,1934544,832327
Loot-PlanetLava_1339121960759721996/p0_Rover_Ships_and_Loot_Planets_in_Hyperfy.mp4,kept,reused_existing,11754131,4337472
Loot-PlanetLava_1339121960759721996/p0_vt01.png,kept,reused_existing,351661,91763
Loot-PlanetLava_1339121960759721996/p0_vt02.png,kept,reused_existing,263614,70501
Loot-Ringed_Planet_1339121960759721996/p0_Rover_Ships_and_Loot_Planets_in_Hyperfy.mp4,kept,reused_existing,11754131,4337472
Loot-Ringed_Planet_1339121960759721996/p0_vt01.png,kept,reused_existing,351661,91763
Loot-Ringed_Planet_1339121960759721996/p0_vt02.png,kept,reused_existing,263614,70501
Loot_1339121960759721996/p0_Rover_Ships_and_Loot_Planets_in_Hyperfy.mp4,kept,reused_existing,11754131,4337472
Loot_1339121960759721996/p0_vt01.png,kept,reused_existing,351661,91763
Loot_1339121960759721996/p0_vt02.png,kept,reused_existing,263614,70501
MINI-Nuke_1354185108835270728/m4_image.png,kept,reused_existing,27004,5222
MINI-Nuke_1354185108835270728/m8_updated_companion.mp4,kept,reused_existing,111053837,16144952
MINI-Nuke_1354185108835270728/p7_flashpoint.mp4,kept,reused_existing,18023515,2741170
Machine_Gun_v8_1355977141862400300/m2_2025-03-30_13-41-09.mp4,kept,reused_existing,59141705,11057708
Machine_Gun_v8_1355977141862400300/p1_arena_test.mp4,kept,reused_existing,91113059,29213290
Mato_Pet_v2_1345214513477189663/p2_image.png,kept,reused_existing,1384207,270051
Mato_Pets_1343812585706749963/m1_LaunchPartyMP.png,kept,reused_existing,148952,42671
Mato_Pets_1343812585706749963/p5_grape-512-512.jpg,kept,reused_existing,125381,27263
Mato_Pets_1343812585706749963/p7_grape-banner-2050-512.jpg,kept,reused_existing,227124,65522
Mato_Pets_1343812585706749963/p8_Screenshot_2025-02-25_at_11.07.00_AM.png,kept,reused_existing,1346329,370845
Mob_-_Skelly_1355903733090750595/m6_xyz-skelly.mp4,kept,reused_existing,23984304,9033986
Mob_-_Skelly_1355903733090750595/m8_CamSwitcher.mp4,kept,reused_existing,109622271,22409746
Model_1353698908353724480/p7_image.png,kept,reused_existing,136804,28888
MoonJump_1406524288625807451/p1_image.png,kept,reused_existing,49473,14495
NEON_1_1369282194895274065/p1_NEON.mp4,kept,reused_existing,22131833,4280581
NEON_2_1369292993667928145/m3_NEON.mp4,kept,reused_existing,22131833,4280581
NPC_9_1354068129944174592/p2_image.png,kept,reused_existing,14345,3527
Physics_-_Contacts_Tags_1354299208894648330/p0_xyz-physics-contacts--tags.mp4,kept,reused_existing,7907745,4015699
Physics_-_Raycast_Tags_1354315974823776286/p0_xyz-physics-raycast-tags.mp4,kept,reused_existing,10840165,5427641
Physics_-_Triggers_Tags_1354303006505435206/p0_xyz-physics-triggers--tags.mp4,kept,reused_existing,8317562,4254669
PingScriptFORcompanion_1354172080924397802/m1_updated_companion.mp4,kept,reused_existing,111053837,16144952
Platforms_1437886474681979002/m2_image.png,kept,reused_existing,1097426,432421
Platforms_1437886474681979002/m3_image.png,kept,reused_existing,1708670,577117
Platforms_1437886474681979002/m6_image.png,kept,reused_existing,941133,340225
Platforms_1437886474681979002/m7_Desktop_2025.11.11_-_10.41.47.01.mp4,kept,reused_existing,26282590,718000
Platforms_1437886474681979002/p3_Desktop_2025.11.11_-_17.21.42.05.mp4,kept,reused_existing,47521529,1893114
PlayerTag-UInew_1355704776373043221/m2_image.png,kept,reused_existing,453467,108839
PlayerTag-UInew_1355704776373043221/p1_2025-03-29_21-41-34.mp4,kept,reused_existing,16488339,1574811
Player_Transforms_1425752169482551389/p0_player_transforms.mp4,kept,reused_existing,2368654,522264
Prism_1355903733090750595/m6_xyz-skelly.mp4,kept,reused_existing,23984304,9033986
Prism_1355903733090750595/m8_CamSwitcher.mp4,kept,reused_existing,109622271,22409746
PvP_Core_with_spawns_1355236590603075706/m2_image.png,kept,reused_existing,911768,225293
RainV3_1359812146199920650/m1_rainV3.mp4,kept,reused_existing,14837753,2793055
RainV3_1359821051999158272/m1_image.png,kept,reused_existing,596852,138172
RainV3_1359821051999158272/m1_image_1359680764517683422.png,kept,reused_existing,2304971,541019
RainV4_1359839641754275921/m2_image.png,kept,reused_existing,1096475,197935
RainV4_1359841759248646274/m2_image.png,kept,reused_existing,596852,138172
RainV4_1359841759248646274/m2_image_1359680764517683422.png,kept,reused_existing,2304971,541019
Rain_1361904724433174649/m1_xyz-particle-demos_2_-_edit.mp4,kept,reused_existing,51165671,22376201
